question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,1,1.0,1,1,1,1.0,1.0,0.5927830934524536,0.5927830934524536
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,1,1.0,1,1,1,1.0,1.0,0.25227004289627075,0.25227004289627075
3,AI biểu tượng hay GOFAI là gì?,chunk_1,1,1.0,1,1,1,1.0,1.0,0.5125909447669983,0.5125909447669983
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,1,1.0,1,1,1,1.0,1.0,0.5346742868423462,0.5346742868423462
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,1,1.0,1,1,1,1.0,1.0,0.5415343046188354,0.5415343046188354
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,1,1.0,1,1,1,1.0,1.0,0.5361109375953674,0.5361109375953674
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,1,1.0,1,1,1,1.0,1.0,0.5502718091011047,0.5502718091011047
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,1,1.0,1,1,1,1.0,1.0,0.46013444662094116,0.46013444662094116
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,1,1.0,1,1,1,1.0,1.0,0.5256175994873047,0.5256175994873047
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,1,1.0,1,1,1,1.0,1.0,0.325867235660553,0.325867235660553
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,2,0.5,0,1,1,0.5,0.6309297535714575,0.5015765428543091,0.4723215401172638
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,1,1.0,1,1,1,1.0,1.0,0.507463812828064,0.507463812828064
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,2,0.5,0,1,1,0.5,0.6309297535714575,0.5081562995910645,0.4275570809841156
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,2,0.5,0,1,1,0.5,0.6309297535714575,0.5180748701095581,0.4923623204231262
15,Những thách thức chính của AI hiện nay là gì?,chunk_6,1,1.0,1,1,1,1.0,1.0,0.48932039737701416,0.48932039737701416
16,Văn bản pháp luật nào phê duyệt 'Chương trình Chuy...,chunk_7,1,1.0,1,1,1,1.0,1.0,0.3615901470184326,0.3615901470184326
17,Ba trụ cột chính của chuyển đổi số theo Quyết định...,chunk_7,1,1.0,1,1,1,1.0,1.0,0.48183774948120117,0.48183774948120117
18,Luật An ninh mạng có hiệu lực từ ngày nào?,chunk_9,1,1.0,1,1,1,1.0,1.0,0.542142927646637,0.542142927646637
19,Ví dụ nào là thuộc về 'dữ liệu cá nhân nhạy cảm' t...,chunk_11,2,0.5,0,1,1,0.5,0.6309297535714575,0.41807836294174194,0.3270638883113861
20,Mục tiêu năm 2030 Việt Nam đạt được gì về chính ph...,chunk_8,1,1.0,1,1,1,1.0,1.0,0.42663076519966125,0.42663076519966125
21,Tương lai AI tại Việt Nam như thế nào?,chunk_7,5,0.2,0,0,1,0.2,0.38685280723454163,0.4371972978115082,0.3714391887187958
